timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1728169260049,182,Get User Request with Cookie,200,OK,PT-008 Thread Group 1-1,text,true,,1898,283,2,2,https://reqres.in/api/users,182,0,119
1728169260147,184,Get User Request with Cookie,200,OK,PT-008 Thread Group 1-2,text,true,,1898,267,2,2,https://reqres.in/api/users,184,0,113
1728169260247,191,Get User Request with Cookie,200,OK,PT-008 Thread Group 1-3,text,true,,1898,275,2,2,https://reqres.in/api/users,191,0,113
1728169260348,207,Get User Request with Cookie,200,OK,PT-008 Thread Group 1-4,text,true,,1898,281,3,3,https://reqres.in/api/users,207,0,146
1728169260448,175,Get User Request with Cookie,200,OK,PT-008 Thread Group 1-5,text,true,,1898,273,2,2,https://reqres.in/api/users,175,0,114
1728169260548,200,Get User Request with Cookie,200,OK,PT-008 Thread Group 1-6,text,true,,1898,275,2,2,https://reqres.in/api/users,200,0,116
1728169260649,237,Get User Request with Cookie,200,OK,PT-008 Thread Group 1-7,text,true,,1898,277,3,3,https://reqres.in/api/users,237,0,159
1728169260749,187,Get User Request with Cookie,200,OK,PT-008 Thread Group 1-8,text,true,,1898,271,2,2,https://reqres.in/api/users,187,0,126
1728169260851,189,Get User Request with Cookie,200,OK,PT-008 Thread Group 1-9,text,true,,1898,281,2,2,https://reqres.in/api/users,189,0,123
1728169260953,272,Get User Request with Cookie,200,OK,PT-008 Thread Group 1-10,text,true,,1898,273,3,3,https://reqres.in/api/users,272,0,114
1728169261049,240,Get User Request with Cookie,200,OK,PT-008 Thread Group 1-11,text,true,,1898,279,3,3,https://reqres.in/api/users,240,0,178
1728169261147,180,Get User Request with Cookie,200,OK,PT-008 Thread Group 1-12,text,true,,1898,281,2,2,https://reqres.in/api/users,180,0,115
1728169261252,176,Get User Request with Cookie,200,OK,PT-008 Thread Group 1-13,text,true,,1898,279,2,2,https://reqres.in/api/users,176,0,116
1728169261352,179,Get User Request with Cookie,200,OK,PT-008 Thread Group 1-14,text,true,,1898,273,2,2,https://reqres.in/api/users,179,0,116
1728169261447,183,Get User Request with Cookie,200,OK,PT-008 Thread Group 1-15,text,true,,1898,271,2,2,https://reqres.in/api/users,183,0,115
1728169261548,184,Get User Request with Cookie,200,OK,PT-008 Thread Group 1-16,text,true,,1898,281,2,2,https://reqres.in/api/users,184,0,113
